iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
42;C12H21N3O4;[M + H]+;Amino acids and Peptides;9.99991E+15;Small peptides;9.99999E+15;Dipeptides;9.94398E+15;Oligopeptides;9.80166E+14;Peptides;10;Amino acids, peptides, and analogues;10;Carboxylic acids and derivatives;10;Organic acids and derivatives;10;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; N-acylpyrrolidines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
43;C7H10N2O2;[M + H]+;Amino acids and Peptides;5.3033E+15;Small peptides;6.51736E+15;Dipeptides;9.72834E+15;Alpha amino acids and derivatives;9.99995E+15;Amino acids and derivatives;9.99992E+15;Amino acids, peptides, and analogues;9.99993E+14;Carboxylic acids and derivatives;9.99989E+15;Organic acids and derivatives;9.99998E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperazines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; N-alkylpiperazines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
45;C15H25N3O6;[M + H]+;Amino acids and Peptides;9.99991E+15;Small peptides;9.99837E+15;Tripeptides;6.52876E+15;Oligopeptides;9.64396E+15;Peptides;1E+16;Amino acids, peptides, and analogues;9.9999E+15;Carboxylic acids and derivatives;10;Organic acids and derivatives;10;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
47;C10H19NO3;[M + H]+;Amino acids and Peptides;5.5621E+15;Small peptides;4.32325E+15;Dipeptides;9.29351E+15;N-acyl-alpha amino acids and derivatives;7.82382E+15;Amino acids and derivatives;7.06038E+15;Amino acids, peptides, and analogues;7.1145E+15;Carboxylic acids and derivatives;9.99927E+14;Organic acids and derivatives;9.99996E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
53;C10H9NO;[M + H]+;Alkaloids;9.5032E+15;Tryptophan alkaloids;6.52027E+15;Simple indole alkaloids;2.45886E+16;Benzenoids;9.97404E+15;;;;;;;Benzenoids;9.97404E+15;"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
55;C10H18N2O5S;[M + H]+;Amino acids and Peptides;9.99879E+15;Small peptides;9.99918E+15;Dipeptides;9.99965E+15;Gamma-glutamyl amino acids;6.18174E+15;Peptides;9.99984E+15;Amino acids, peptides, and analogues;9.99998E+15;Carboxylic acids and derivatives;1E+16;Organic acids and derivatives;10;"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Gamma-glutamyl amino acids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Methionine and derivatives; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"
56;C8H9N;[M + H]+;Alkaloids;9.90106E+15;Tryptophan alkaloids;4.11228E+15;Simple indole alkaloids;3.7502E+16;Indoles and derivatives;6.60467E+15;;;;;Indoles and derivatives;6.60467E+15;Organoheterocyclic compounds;9.84751E+15;"Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Organonitrogen compounds; Dialkylamines; Benzenoids; Amines; Secondary amines; Aralkylamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
59;C9H11NO2;[M + H]+;Amino acids and Peptides;8.58411E+15;Small peptides;8.40545E+15;Aminoacids;7.59349E+15;Phenylalanine and derivatives;7.94406E+14;Amino acids and derivatives;7.25058E+15;Amino acids, peptides, and analogues;7.32152E+15;Carboxylic acids and derivatives;9.878E+15;Organic acids and derivatives;9.94247E+15;"Organic compounds; Amino acids, peptides, and analogues; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Aralkylamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
60;C9H17NO5;[M + H]+;Fatty acids;6.64727E+15;Fatty amides;7.39839E+15;N-acyl amines;8.91409E+15;Beta amino acids and derivatives;8.45867E+15;Amino acids and derivatives;8.15884E+15;Amino acids, peptides, and analogues;8.37858E+15;Carboxylic acids and derivatives;9.89674E+15;Organic acids and derivatives;9.99611E+15;"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Beta amino acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
61;C20H28N2O9;[M + H]+;Carbohydrates;3.07062E+15;Aminosugars and aminoglycosides;8.03895E+15;Aminosugars;9.0353E+14;Phenylalanine and derivatives;9.83114E+15;Amino acids and derivatives;9.54795E+15;Amino acids, peptides, and analogues;9.56652E+15;Carboxylic acids and derivatives;9.87712E+15;Organic acids and derivatives;9.99161E+15;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; N-acyl-alpha-hexosamines; Benzene and substituted derivatives; N-acyl-alpha amino acids; Benzenoids; Phenylpropanoic acids; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
62;C19H27N3O5S;[M + H]+;Amino acids and Peptides;8.8667E+15;Small peptides;9.71386E+15;Tripeptides;7.68454E+15;Peptides;9.00026E+15;Peptides;9.00026E+15;Amino acids, peptides, and analogues;9.99058E+15;Carboxylic acids and derivatives;9.9974E+15;Organic acids and derivatives;9.9999E+15;"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Imidazolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Peptides; Organic carbonic acids and derivatives; Alpha amino acid esters; Ureas; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Imidazolidinones; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Azolidines; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
65;C22H34N2O14;[M + Na]+;Carbohydrates;9.71963E+15;Aminosugars and aminoglycosides;5.04291E+15;Aminosugars;6.35476E+15;N-acyl-alpha-hexosamines;5.7406E+15;Aminosaccharides;9.24341E+15;Carbohydrates and carbohydrate conjugates;9.98922E+15;Organooxygen compounds;10;Organic oxygen compounds;10;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; N-acyl-alpha-hexosamines; Polyols; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
66;C11H17NO7;[M + H]+;Carbohydrates;9.82435E+15;Aminosugars and aminoglycosides;9.96946E+15;Aminosugars;9.9812E+15;Acylaminosugars;8.94367E+15;Aminosaccharides;9.98734E+15;Carbohydrates and carbohydrate conjugates;9.97401E+15;Organooxygen compounds;10;Organic oxygen compounds;10;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Aldehydes; Alcohols and polyols; Acylaminosugars; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Hemiacetals; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Amino sugars; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; N-acyl-alpha-hexosamines; Polyols; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
67;C17H31N7O9S2;[M + H]+;Amino acids and Peptides;8.76116E+15;Small peptides;9.92519E+15;Tripeptides;9.33192E+15;Gamma-glutamyl peptides;8.98426E+15;Peptides;9.95903E+15;Amino acids, peptides, and analogues;9.98311E+15;Carboxylic acids and derivatives;9.9663E+14;Organic acids and derivatives;9.99802E+15;"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Organic disulfides; Gamma-glutamyl peptides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Dialkyldisulfides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
68;C11H17NO7;[M + Na]+;Carbohydrates;9.10455E+15;Aminosugars and aminoglycosides;9.74984E+15;Aminosugars;9.88616E+15;Acylaminosugars;5.68016E+15;Aminosaccharides;8.73282E+15;Carbohydrates and carbohydrate conjugates;7.74321E+14;Organooxygen compounds;10;Organic oxygen compounds;10;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Acylaminosugars; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha-hexosamines; Aminosaccharides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
69;C12H25NO2;[M + H]+;Alkaloids;8.21108E+15;Lysine alkaloids;6.7607E+15;Piperidine alkaloids;4.99479E+15;1,2-aminoalcohols;6.37661E+15;Alkanolamines;7.495E+15;Amines;9.92004E+15;Organonitrogen compounds;9.99992E+15;Organic nitrogen compounds;9.99997E+15;"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
